from_node,to_node,from_time,to_time,arc_capacity
480,484,15,17,20.000000
480,484,17,19,20.000000
480,484,20,22,20.000000
480,484,23,25,20.000000
481,691,22,24,20.000000
481,691,32,34,20.000000
481,691,33,35,20.000000
483,480,13,15,20.000000
484,485,17,20,20.000000
484,627,11,13,20.000000
484,627,13,15,20.000000
484,627,14,16,20.000000
484,627,17,19,20.000000
484,627,19,21,20.000000
484,627,22,24,20.000000
484,627,25,27,20.000000
484,627,5,7,20.000000
485,485,11,12,20.000000
485,485,12,13,20.000000
485,485,17,18,20.000000
485,485,18,19,20.000000
485,485,21,22,20.000000
485,485,33,34,20.000000
485,489,13,15,20.000000
485,489,20,22,20.000000
485,626,10,12,20.000000
485,626,13,15,20.000000
485,626,18,20,20.000000
485,626,19,21,20.000000
485,626,20,22,20.000000
485,626,22,24,20.000000
485,626,23,25,20.000000
485,626,27,29,20.000000
485,626,29,31,20.000000
485,626,30,32,20.000000
485,626,34,36,20.000000
486,627,10,12,20.000000
486,691,4,5,20.000000
487,488,11,13,20.000000
487,488,15,17,20.000000
487,488,34,36,20.000000
487,535,15,18,20.000000
487,535,18,21,20.000000
487,535,19,22,20.000000
487,535,29,32,20.000000
487,535,30,33,20.000000
487,535,36,39,20.000000
487,535,38,41,20.000000
487,535,39,42,20.000000
487,535,40,43,20.000000
487,681,17,19,20.000000
487,681,23,25,20.000000
488,487,13,15,20.000000
488,487,15,17,20.000000
488,487,16,18,20.000000
488,487,17,19,20.000000
488,487,21,23,20.000000
488,487,28,30,20.000000
488,487,32,34,20.000000
488,487,36,38,20.000000
488,682,6,7,20.000000
489,490,13,14,20.000000
489,490,15,16,20.000000
489,490,17,18,20.000000
489,490,19,20,20.000000
489,490,20,21,20.000000
489,490,22,23,20.000000
489,490,24,25,20.000000
489,490,27,28,20.000000
489,490,33,34,20.000000
489,490,35,36,20.000000
49,595,8,9,20.000000
490,490,19,20,20.000000
490,490,25,26,20.000000
490,490,28,29,20.000000
490,490,37,38,20.000000
490,491,14,16,20.000000
490,491,16,18,20.000000
490,491,2,4,20.000000
490,491,20,22,20.000000
490,491,24,26,20.000000
490,491,26,28,20.000000
490,491,31,33,20.000000
490,491,33,35,20.000000
490,491,34,36,20.000000
490,557,10,12,20.000000
490,557,13,15,20.000000
490,557,14,16,20.000000
490,557,15,17,20.000000
